,text,user
56,@RealDonaldTrump #joke : 'Donald Trump has tweeted he wants to help the President of China protect Chinese jobs. Wh… https://t.co/qwmMrjKYBP,SwerianBot
57,@Realdonaldtrump 28AC3FC7 :参戦ID 参加者募集！ Lv150 プロトバハムート https://t.co/TLclBLDS2t,Elegy_Rem
58,RT @DougWise9: @realDonaldTrump https://t.co/TvQ1Pio3H6,barbaralay8
59,"@RealDonaldTrump gets very upset when people point out that he can't read, per source https://t.co/LGqheRArH0",LibelTrump
60,@realDonaldTrump  【ペア失敗】 今日は4等1モバコインが当たりました！ SkyLeapから無料でチャレンジ！ https://t.co/6tfzhCkugu  #グラブルキャラあわせ #3月モバフェス,kc_yta
61,@RealDonaldTrump has resorted to selling his body on the street to make ends meet #Trump,LibelTrump
62,"@RealDonaldTrump #lie : 'There is no reason for these massive, deadly and costly forest fires in California except… https://t.co/ZbUg2kYTXR",SwerianBot
63,RT @Tentoads4truth: @realDonaldTrump @TuckerCarlson Charles Koch Continues to Bankroll the Tucker Carlson-Founded Daily Caller Two of Charl…,GreenWichita
64,"RT @greywolfmoon3: @realDonaldTrump The Chinese Billionaire &amp; Fugitive Guo Wengui a.k.a. Miles Kwok, has made many trips on his yacht Lady…",D88089112
65,RT @williesband: @realDonaldTrump @FoxNews These so-called 'men' flash their erect thumbs and venal grins as if replicating Trump's absurd…,williesband
66,@realDonaldTrump @POTUS Is the US great yet?,IsItGreatYetBot
67,RT @BattleBornThom: @realDonaldTrump @GenFlynn @AndrewBreitbart all have warned us! #pizzgate #Podesta #ClintonEmails   @HillaryClinton @jo…,CharlieNeli
68,RT @MommyRoxTahoe: @realDonaldTrump “People who boast about their IQs are losers.” Stephen Hawking,ErismanMike
69,RT @lopao345: @realDonaldTrump cc,CoucouLeBot
70,RT @falso22s: @realDonaldTrump cc,CoucouLeBot
71,@realDonaldTrump cc,lopao345
72,@realDonaldTrump cc,falso22s
73,@realDonaldTrump @POTUS Will this be the end? #youtryandfail,youtryandfail
74,@RealDonaldTrump won't give one single dime of additional funding to the V.A. #NEWS,LibelTrump
75,@realDonaldTrump You lost the popular vote by more than 2.8 million. Sad!,2point8million
76,@realdonaldtrump  #diaperdon,KtownNearOz
77,@realDonaldTrump @POTUS Is America great again?,IsItGreatYetBot
78,RT @zsoke23: @realDonaldTrump @US_FDA What is the vaccine for ?  When there's no #COVID19?   Viruses are not CONTAGIOUS!,zsoke23
79,"RT @bob_stansbury: @realDonaldTrump Also Nancy Pelosi's son Paul working for some big oil company in Ukraine.Big Energy Co.(Hunter), Big Oi…",gatekeeper96740
80,@realDonaldTrump is a fascist,virus50030024
81,"@RealDonaldTrump #lie : 'Look, scientists also have a political agenda.' #Trump #MAGA #RacistInChief #RapistInChief… https://t.co/ScHIXUrkFz",SwerianBot
82,@RealDonaldTrump is deeply unhealthy both physically and mentally #RussiaGate,LibelTrump
83,"RT @gregrank: @realDonaldTrump If Americans were told that there was a new medical breakthrough, a crazy cure for something, that involved…",PKaminske
84,RT @Patriot2Nurse: @realDonaldTrump  @realDonaldTrump  ⤵⤵⤵⤵⤵⤵⤵ https://t.co/KGcPytITYe,1hopz
85,RT @StephenGoodwi18: @realDonaldTrump America has a lot to answer for voting this poor excuse for a President and poor excuse for a human b…,Tracy06079521
86,@realDonaldTrump　２ FB2D36A2 :参戦ID 参加者募集！ Lv150 プロトバハムート https://t.co/bZtCqraiqD,Bglasses1102
87,@realDonaldTrump FB2D36A2 :参戦ID 参加者募集！ Lv150 プロトバハムート https://t.co/bZtCqraiqD,Bglasses1102
88,RT @SteveHusker: @realDonaldTrump @CNN @MSNBC  https://t.co/Y2oaxb9PR0,Tammy41552136
89,RT @CheriJacobus: @realDonaldTrump Have you heard about the dead college roommate of @mattgaetz?,Karma4Magats
90,@realDonaldTrump 2B529B17 :参戦ID 参加者募集！ Lv150 プロトバハムート https://t.co/qTBwLiIWEd,36182829andrew
91,@realdonaldtrump 2B529B17 :参戦ID 参加者募集！ Lv150 プロトバハムート https://t.co/qTBwLiqNq5,36182829andrew
92,"RT @outofcontroljb: @realDonaldTrump ""AND HOW DARE BIDEN COMMIT THAT OTHER FAKE CRIME I MADE UP!""",Bet_the_ChE
93,"@RealDonaldTrump #lie : 'Look, scientists also have a political agenda.' #Trump #MAGA #RacistInChief #RapistInChief https://t.co/gAfvkqv7tW",SwerianBot
94,@realDonaldTrump you are failing #america ... #SAD #FAIL,primaryrinos
95,@realdonaldtrump 9D369FC6 :参戦ID 参加者募集！ Lv200 ガレヲン https://t.co/asqjeGQi9r,Clausewitz2015
96,RT @Tentoads4truth: @realDonaldTrump @TuckerCarlson Charles Koch Continues to Bankroll the Tucker Carlson-Founded Daily Caller Two of Charl…,Texttexas
97,@realdonaldtrump 9ADEE54B :参戦ID 参加者募集！ 四大天司ＨＬ https://t.co/APb06uISud,Clausewitz2015
